hour,total_transactions,fraud_count,fraud_amount,fraud_rate_pct
183,31199,16,18978467.1,0.0513
184,32175,8,641278.26,0.0249
185,37323,16,5595525.86,0.0429
186,43747,17,37206085.21,0.0389
187,49083,10,23756742.34,0.0204
188,39079,10,20778776.86,0.0256
189,17674,10,10138774.0,0.0566
190,12669,8,22112574.56,0.0631
191,9111,12,5392995.26,0.1317
192,4314,10,8309608.76,0.2318
193,1511,8,2287478.94,0.5295
194,671,12,12961770.02,1.7884
195,141,10,6852035.22,7.0922
196,8,8,4998965.94,100.0
197,4,4,4894973.5,100.0
198,12,12,39553204.84,100.0
199,10,10,10151804.44,100.0
200,8,8,26179145.6,100.0
201,17963,8,7441642.08,0.0445
202,31949,2,4527854.08,0.0063
203,36176,8,16146721.32,0.0221
204,36856,6,4610782.02,0.0163
205,33549,16,5527243.84,0.0477
206,29777,12,16591881.88,0.0403
207,28288,6,2097202.2,0.0212
208,29058,21,23244096.62,0.0723
209,30372,6,17780416.1,0.0198
210,33004,8,6867773.52,0.0242
211,36889,14,17522541.48,0.038
212,34047,40,104335505.4,0.1175
213,14775,8,9595979.6,0.0541
214,10746,12,13397102.58,0.1117
215,7975,10,23474504.36,0.1254
216,4130,6,3530629.18,0.1453
217,3347,16,12623112.26,0.478
218,12,12,22237883.98,100.0
219,10,10,8562844.34,100.0
220,6,6,9687097.08,100.0
221,10,10,5286186.14,100.0
222,8,8,5949300.24,100.0
223,8,8,6587448.48,100.0
224,10,10,20234992.58,100.0
225,18366,12,4533541.76,0.0653
226,27522,12,23010432.96,0.0436
227,30871,14,17055559.22,0.0454
228,30965,16,39930580.08,0.0517
229,28304,8,1997995.42,0.0283
230,26034,17,38649949.32,0.0653
231,26968,17,18176361.03,0.063
232,27482,10,10156761.98,0.0364
233,14703,12,3109627.22,0.0816
234,34053,14,3647395.52,0.0411
235,47491,10,10014132.38,0.0211
236,37109,10,13303190.88,0.0269
237,16003,12,51710120.12,0.075
238,10920,14,31908350.78,0.1282
239,8554,10,3089193.6,0.1169
240,4189,14,11598641.0,0.3342
241,1865,18,10169644.12,0.9651
242,637,8,14575221.68,1.2559
243,8,8,16247876.12,100.0
244,12,12,27299325.08,100.0
245,4,4,1624691.78,100.0
246,4,4,1692137.58,100.0
247,8,8,6475558.04,100.0
248,10,10,28243774.7,100.0
249,23209,28,47020241.04,0.1206
250,31854,22,67870035.96,0.0691
251,35269,10,24013421.26,0.0284
252,35590,2,152400.08,0.0056
253,33311,10,7202085.8,0.03
254,29553,10,5394751.48,0.0338
255,28840,8,2180114.68,0.0277
256,28570,8,20354123.44,0.028
257,26843,6,13407793.8,0.0224
258,27662,8,7159475.52,0.0289
259,43328,10,22105540.56,0.0231
260,33674,12,39424375.56,0.0356
261,14420,20,27005758.06,0.1387
262,11125,22,23105143.94,0.1978
263,8021,6,1265463.02,0.0748
264,4042,8,6467931.44,0.1979
265,1581,12,22467481.86,0.759
266,767,10,61784214.44,1.3038
267,77,8,11757100.52,10.3896
268,6,6,8090414.72,100.0
269,14,14,30786900.72,100.0
270,16,16,7453709.26,100.0
271,12,12,21611875.28,100.0
272,12,12,14762929.3,100.0
273,7871,20,23804168.6,0.2541
274,19202,20,19364377.9,0.1042
275,24797,10,14612377.94,0.0403
276,26383,10,13629640.32,0.0379
277,25925,14,8334851.02,0.054
278,25737,4,659767.16,0.0155
279,25925,22,65064759.15,0.0849
280,25956,4,1489232.82,0.0154
281,27778,18,21634287.86,0.0648
282,31118,18,8020630.52,0.0578
283,36644,8,3965925.56,0.0218
284,33449,16,8986754.62,0.0478
285,14266,16,27572837.08,0.1122
286,11333,8,6015907.74,0.0706
287,6889,10,20667853.0,0.1452
288,4018,10,5445147.0,0.2489
289,1437,12,1910568.3,0.8351
290,487,8,4365133.1,1.6427
291,44,10,7547162.24,22.7273
292,8,8,6010883.12,100.0
293,4,4,1529597.5,100.0
294,18,18,26816796.08,100.0
295,10,10,13248845.16,100.0
296,22,22,49873410.0,100.0
297,20609,8,21773282.1,0.0388
298,29579,4,1056147.64,0.0135
299,31940,10,18177885.16,0.0313
300,31176,8,4018601.34,0.0257
301,30881,4,982780.02,0.013
302,29127,8,6953199.08,0.0275
303,24714,14,54740384.02,0.0566
304,26697,2,93322.06,0.0075
305,34595,14,32659392.48,0.0405
306,43615,12,35662272.06,0.0275
307,46968,16,12989631.26,0.0341
308,36983,6,14538037.96,0.0162
309,15147,8,11659187.96,0.0528
310,11393,10,23218952.34,0.0878
311,9863,16,39444125.2,0.1622
312,3266,10,34880894.24,0.3062
313,1305,10,19921696.54,0.7663
314,512,6,6630956.12,1.1719
315,12,12,33201719.3,100.0
316,12,12,9279425.26,100.0
317,20,20,6354087.94,100.0
318,6,6,3384709.38,100.0
319,8,8,12220382.46,100.0
320,14,14,20764447.78,100.0
321,17768,8,2283118.3,0.045
322,27147,16,29436549.02,0.0589
323,29884,10,17893241.94,0.0335
324,29430,10,2447231.64,0.034
325,27901,10,4589819.58,0.0358
326,26655,14,18064958.32,0.0525
327,25183,10,4917316.84,0.0397
328,26877,18,13961667.54,0.067
329,32161,6,7946794.4,0.0187
330,36682,10,20703812.82,0.0273
331,40186,6,1960817.9,0.0149
332,36156,6,1205647.34,0.0166
333,14553,8,9126924.7,0.055
334,12016,4,3053286.36,0.0333
335,10456,4,4438239.3,0.0383
336,2932,18,20084983.14,0.6139
337,320,10,3844385.02,3.125
338,529,4,525566.9,0.7561
339,10,10,4839777.76,100.0
340,10,10,20576578.26,100.0
341,10,10,9681273.68,100.0
342,14,14,2872763.5,100.0
343,12,12,5299923.58,100.0
344,6,6,5246154.58,100.0
345,14670,12,20934275.32,0.0818
346,26073,6,4402671.54,0.023
347,30222,0,0.0,0.0
348,29467,8,15822348.14,0.0271
349,29552,18,16963849.96,0.0609
350,28245,14,22398150.3,0.0496
351,26927,18,58087887.92,0.0668
352,27139,16,26279377.32,0.059
353,30420,8,2604863.18,0.0263
354,40696,12,40189013.44,0.0295
355,44787,8,19713220.86,0.0179
356,33528,6,12634652.5,0.0179
357,15096,18,37906720.7,0.1192
358,12050,10,15686899.1,0.083
359,7991,12,39518536.68,0.1502
360,3508,8,3961920.48,0.2281
361,1441,14,16033101.22,0.9715
362,504,20,48496708.88,3.9683
363,14,14,38027813.68,100.0
364,6,6,7708375.62,100.0
365,14,14,18737996.1,100.0
366,10,10,23250735.88,100.0
367,14,14,6965470.32,100.0
368,6,6,2900938.68,100.0
369,14490,6,3991442.66,0.0414
370,25429,18,34645062.04,0.0708
371,28388,6,782237.24,0.0211
372,29515,8,17538141.44,0.0271
373,28853,12,10628683.06,0.0416
374,27727,14,6580875.16,0.0505
375,26103,10,3993252.86,0.0383
376,20122,4,1394313.84,0.0199
377,18183,10,7689896.1,0.055
378,37127,4,761155.06,0.0108
379,41759,16,33623050.92,0.0383
380,37693,14,9165065.98,0.0371
381,14961,4,1612277.42,0.0267
382,11829,8,7264385.28,0.0676
383,7818,14,28672487.98,0.1791
384,3588,6,5135667.38,0.1672
385,1419,8,5466976.74,0.5638
386,633,16,63679949.18,2.5276
387,28,28,147237648.39,100.0
388,18,18,34064057.06,100.0
389,10,10,25595859.9,100.0
390,12,12,17235988.42,100.0
391,12,12,13642966.84,100.0
392,10,10,7935358.76,100.0
393,19269,4,1446315.5,0.0208
394,28959,10,10113828.52,0.0345
395,22797,8,943692.4,0.0351
396,34075,8,8061487.48,0.0235
397,30348,10,5677026.32,0.033
398,26656,26,92473491.98,0.0975
399,30223,12,6605265.34,0.0397
400,30910,16,24421400.84,0.0518
401,33468,16,28081650.36,0.0478
402,40218,12,14220007.74,0.0298
403,45155,16,12681871.74,0.0354
404,36726,18,30981834.22,0.049
405,16604,10,27711647.6,0.0602
406,12023,24,45330435.22,0.1996
407,7937,6,4892724.1,0.0756
408,8256,10,8426965.5,0.1211
409,483,20,74544759.32,4.1408
410,20,20,28815915.8,100.0
411,16,16,44434467.26,100.0
412,8,8,6931488.54,100.0
413,289,14,20718110.18,4.8443
414,16,16,40395346.04,100.0
415,16,16,11738866.76,100.0
416,2182,8,26252103.96,0.3666
417,6,6,6632519.28,100.0
418,6,6,2758272.86,100.0
419,1257,10,8577308.84,0.7955
420,2620,12,6214993.72,0.458
421,14,14,54903247.38,100.0
422,1259,10,10364365.48,0.7943
423,766,6,8384347.36,0.7833
424,14,14,23591968.12,100.0
425,28,28,110298471.23,100.0
426,5139,2,199608.42,0.0389
427,14,14,22280093.62,100.0
428,2792,6,6429529.82,0.2149
429,2357,4,2305809.18,0.1697
430,8,8,13356935.2,100.0
431,1685,6,10421929.52,0.3561
432,4,4,4115551.48,100.0
433,6,6,3740353.9,100.0
434,8,8,15066379.4,100.0
435,4,4,3018541.02,100.0
436,248,16,21208459.54,6.4516
437,16,16,24046445.4,100.0
438,12,12,13988340.3,100.0
439,883,12,16647703.4,1.359
440,18,18,106424896.32,100.0
441,10,10,16704956.4,100.0
442,1222,12,9302089.46,0.982
443,10,10,9883266.22,100.0
444,20,20,55929981.0,100.0
445,64,6,4902393.82,9.375
446,12,12,23247205.76,100.0
447,10,10,17027129.52,100.0
448,2548,6,1632367.56,0.2355
449,1194,6,4532597.78,0.5025
450,16,16,42903268.1,100.0
451,3751,4,969917.34,0.1066
452,308,10,19262284.76,3.2468
453,59,8,8635021.62,13.5593
454,39,6,3710927.6,15.3846
455,824,10,5993693.94,1.2136
456,18,18,31949963.72,100.0
457,10,10,4996140.54,100.0
458,438,6,893009.56,1.3699
459,8,8,2962101.96,100.0
460,59,16,11378803.3,27.1186
461,83,16,22101413.28,19.2771
462,16,16,12933930.56,100.0
463,10,10,15575691.76,100.0
464,16,16,19647849.88,100.0
465,12,12,20195821.5,100.0
466,984,6,9399477.28,0.6098
467,12,12,6673898.26,100.0
468,12,12,8427756.38,100.0
469,6016,8,42293650.88,0.133
470,12,12,13929861.7,100.0
471,2620,2,1008689.86,0.0763
472,84,8,8088190.96,9.5238
473,10,10,1423133.56,100.0
474,2728,8,5804368.64,0.2933
475,14,14,4167837.46,100.0
476,3755,8,3306848.02,0.213
477,10,10,38321192.76,100.0
478,1908,6,6270376.16,0.3145
479,904,4,14938025.34,0.4425
480,6,6,1945259.1,100.0
481,14,14,7476067.6,100.0
482,16,16,7618253.76,100.0
483,317,8,23227580.96,2.5237
484,6,6,501135.22,100.0
485,12,12,16670389.88,100.0
486,8,8,12307851.5,100.0
487,912,14,12065199.46,1.5351
488,8,8,11535648.86,100.0
489,14,14,20060606.22,100.0
490,3820,10,16292525.02,0.2618
491,12,12,9649155.4,100.0
492,5119,6,8415432.2,0.1172
493,1819,8,5063603.26,0.4398
494,8,8,22656512.98,100.0
495,3256,16,10287047.48,0.4914
496,873,6,1942097.02,0.6873
497,20,20,44196804.32,100.0
498,12,12,42134942.8,100.0
499,10,10,3823494.9,100.0
500,6108,4,1905605.74,0.0655
501,28,28,79614672.48,100.0
502,313,12,15705844.42,3.8339
503,1878,10,6032632.26,0.5325
504,10,10,10039514.88,100.0
505,936,8,21058718.76,0.8547
506,8,8,37329805.02,100.0
507,14,14,42107207.22,100.0
508,6,6,1907268.16,100.0
509,288,14,11324703.2,4.8611
510,10,10,16351972.12,100.0
511,6,6,3040983.82,100.0
512,12,12,24542548.84,100.0
513,10,10,4352810.34,100.0
514,8733,14,40748411.74,0.1603
515,6,6,854962.98,100.0
516,14,14,49316030.56,100.0
517,1391,6,12496902.06,0.4313
518,3488,8,3050474.42,0.2294
519,12,12,5862921.82,100.0
520,3037,12,27593733.06,0.3951
521,14,14,11945989.74,100.0
522,18631,14,8446983.32,0.0751
523,30,30,69540142.4,100.0
524,2664,4,1177079.38,0.1502
525,8023,2,406561.7,0.0249
526,2470,12,3828632.44,0.4858
527,2697,6,2359661.44,0.2225
528,937,14,9174137.6,1.4941
529,33,6,9704061.72,18.1818
530,409,8,1909485.46,1.956
531,250,14,24268797.38,5.6
532,95,6,2153727.2,6.3158
533,12,12,13069443.86,100.0
534,531,12,7342713.12,2.2599
535,6,6,2535105.66,100.0
536,12,12,7342744.3,100.0
537,18,18,7191162.74,100.0
538,3120,10,10044400.88,0.3205
539,4,4,556966.14,100.0
540,5476,6,12079249.28,0.1096
541,12,12,43310664.08,100.0
542,4475,10,29204338.76,0.2235
543,6,6,5380517.8,100.0
544,9358,6,1236278.56,0.0641
545,3562,0,0.0,0.0
546,7771,10,4795830.98,0.1287
547,2261,8,4434989.96,0.3538
548,5689,2,252863.22,0.0352
549,642,12,7619342.16,1.8692
550,4804,8,4124627.66,0.1665
551,949,18,17884531.28,1.8967
552,1517,10,2947529.8,0.6592
553,8,8,4677417.0,100.0
554,18,18,85876715.24,100.0
555,144,6,6721842.34,4.1667
556,6,6,3120878.82,100.0
557,20,20,19343563.1,100.0
558,14,14,8472680.22,100.0
559,10,10,8614436.24,100.0
560,10,10,4471218.44,100.0
561,16,16,17311068.86,100.0
562,10,10,34103614.62,100.0
563,3284,18,20796743.88,0.5481
564,3546,16,26232148.2,0.4512
565,5425,12,5967014.64,0.2212
566,1421,6,4594090.44,0.4222
567,4356,10,8070082.08,0.2296
568,14,14,21012595.98,100.0
569,1182,14,7014615.58,1.1844
570,1965,10,10183582.02,0.5089
571,4256,10,9214729.6,0.235
572,18,18,11261178.0,100.0
573,3487,8,4754931.48,0.2294
574,2614,4,229978.88,0.153
575,8,8,4362409.58,100.0
576,877,14,8083706.5,1.5964
577,364,12,7649463.0,3.2967
578,269,20,27473589.36,7.4349
579,12,12,13391113.62,100.0
580,58,10,9555883.06,17.2414
581,10,10,8109043.62,100.0
582,775,16,21844050.46,2.0645
583,16,16,12437199.9,100.0
584,281,8,6072941.66,2.847
585,2047,6,20111176.74,0.2931
586,1581,12,66008957.06,0.759
587,2740,6,5046226.1,0.219
588,4894,12,8179716.16,0.2452
589,6245,2,328593.7,0.032
590,6584,8,7195791.44,0.1215
591,57,12,16978495.52,21.0526
592,5373,10,7906739.48,0.1861
593,4,4,795846.68,100.0
594,6536,10,5126436.72,0.153
595,5434,12,8454708.62,0.2208
596,9319,8,2433511.24,0.0858
597,2486,6,3240669.92,0.2414
598,934,4,12040134.74,0.4283
599,1816,6,2010804.74,0.3304
600,18,18,35814392.02,100.0
601,865,10,3470850.04,1.1561
602,8,8,5697984.22,100.0
603,12,12,19318593.14,100.0
604,8,8,11736101.32,100.0
605,16,16,10418263.96,100.0
606,14,14,29801780.8,100.0
607,8,8,1402691.26,100.0
608,1082,16,33359254.08,1.4787
609,8,8,1962933.3,100.0
610,1199,12,5269088.46,1.0008
611,14,14,7014769.8,100.0
612,2677,12,7276108.1,0.4483
613,45,20,16976029.5,44.4444
614,1278,16,21300053.22,1.252
615,8,8,18864296.14,100.0
616,6,6,17192937.16,100.0
617,2680,16,88607485.19,0.597
618,8,8,4093382.08,100.0
619,2800,14,12463874.96,0.5
620,8,8,1470584.12,100.0
621,1121,18,48422537.28,1.6057
622,4,4,1667642.96,100.0
623,6,6,842672.16,100.0
624,10,10,27307081.34,100.0
625,24,24,59187126.16,100.0
626,6,6,265400.04,100.0
627,4,4,7419082.84,100.0
628,6,6,2388645.62,100.0
629,20,20,27300034.54,100.0
630,150,4,1491480.64,2.6667
631,12,12,34322908.44,100.0
632,8,8,2045006.0,100.0
633,8,8,9469682.56,100.0
634,10,10,19967336.1,100.0
635,16,16,9757174.24,100.0
636,12,12,6594877.6,100.0
637,3390,12,9507786.54,0.354
638,14,14,30445090.82,100.0
639,14,14,3833999.26,100.0
640,1398,14,6737019.04,1.0014
641,10,10,11484847.26,100.0
642,1141,8,1667334.82,0.7011
643,14,14,15829698.56,100.0
644,2267,10,11759994.32,0.4411
645,10,10,24279751.58,100.0
646,20,20,124559607.04,100.0
647,10,10,9725016.58,100.0
648,14,14,7556887.52,100.0
649,263,10,4110791.56,3.8023
650,16,16,15453019.1,100.0
651,10,10,27449340.32,100.0
652,14,14,13800111.76,100.0
653,8,8,3335889.22,100.0
654,8,8,4244319.9,100.0
655,4,4,598814.78,100.0
656,1965,16,22516135.04,0.8142
657,10,10,12898473.72,100.0
658,14,14,22548885.34,100.0
659,2500,10,9368894.66,0.4
660,12,12,1937697.78,100.0
661,4877,8,38924308.76,0.164
662,2,2,2936608.7,100.0
663,10,10,3242072.3,100.0
664,1125,20,30433785.9,1.7778
665,10,10,8904817.3,100.0
666,6,6,1527287.1,100.0
667,1400,6,1324697.48,0.4286
668,8,8,26890502.8,100.0
669,322,8,11327634.74,2.4845
670,1906,12,34158962.26,0.6296
671,18,18,64327964.7,100.0
672,153,8,15611011.14,5.2288
673,445,12,5958122.48,2.6966
674,14,14,42027958.24,100.0
675,30,10,29715681.8,33.3333
676,8,8,18117891.12,100.0
677,8,8,44065100.36,100.0
678,6,6,4961854.36,100.0
679,72,6,7504192.98,8.3333
680,22,22,60114590.72,100.0
681,4703,4,17824048.08,0.0851
682,6,6,877562.34,100.0
683,2192,8,13494524.16,0.365
684,4562,8,4271677.18,0.1754
685,14,14,47544533.98,100.0
686,4689,16,12183321.54,0.3412
687,8040,8,7870410.66,0.0995
688,7885,8,19650763.22,0.1015
689,14,14,20273406.88,100.0
690,4972,12,17904169.16,0.2414
691,4809,12,5675583.38,0.2495
692,6898,20,43658775.68,0.2899
693,4,4,2965073.02,100.0
694,2664,24,51919140.74,0.9009
695,2827,10,20986281.78,0.3537
696,6,6,2382110.8,100.0
697,12,12,7788654.28,100.0
698,65,16,56491532.6,24.6154
699,55,16,7750987.76,29.0909
700,6,6,2189920.66,100.0
701,18,18,25820556.98,100.0
702,14,14,65416667.71,100.0
703,8,8,14723066.04,100.0
704,16,16,31025756.86,100.0
705,2362,10,3831216.36,0.4234
706,4,4,2401102.9,100.0
707,309,10,11255965.28,3.2362
708,4,4,6459344.86,100.0
709,2313,8,821004.84,0.3459
710,1788,14,77692669.18,0.783
711,8,8,14371325.16,100.0
712,23,12,2487608.48,52.1739
713,8,8,14119525.3,100.0
714,681,14,24465919.72,2.0558
715,1879,10,21992220.66,0.5322
716,140,8,19401657.12,5.7143
717,632,12,21615605.96,1.8987
718,918,16,44003618.7,1.7429
719,14,14,19259355.64,100.0
720,10,10,1617246.46,100.0
721,4,4,189712.36,100.0
722,10,10,9511315.58,100.0
723,14,14,20923093.02,100.0
724,14,14,6120113.76,100.0
725,4,4,1993163.7,100.0
726,22,22,20213984.4,100.0
727,12,12,15852217.1,100.0
728,10,10,21656065.24,100.0
729,4,4,2385956.58,100.0
730,28,28,115003435.05,100.0
731,16,16,3880955.34,100.0
732,10,10,4391950.92,100.0
733,10,10,6113203.28,100.0
734,8,8,27827406.36,100.0
735,12,12,3155523.32,100.0
736,14,14,32530967.34,100.0
737,10,10,9560119.88,100.0
738,10,10,2883702.98,100.0
739,10,10,16587831.36,100.0
740,6,6,7632963.58,100.0
741,22,22,87828992.99,100.0
742,14,14,14323735.2,100.0
743,8,8,17519825.5,100.0
